score,file,rewrite_prompt
0.017735727,./gpt_bigram.csv,Adjust the focus on human speech.
0.019061757,./gpt_bigram.csv,Rewrite the father's portrayal in the love song to enhance readability.
0.019104257,./gpt_bigram.csv,"Rewrite this column with a strict adherence to the narrative structure, while conveying a lighthearted message about pride and community at Shepperton Church."
0.019446243,./gpt_bigram.csv,"Enhance the story of the 19th-century crofters by rewriting it in a style that captures the ethic of their industry, highlighting the process of weaving the cloth. Transform this into a formal request email."
0.019563597,./gpt_bigram.csv,Transform the text into lyrics that describe uncharted territory from a more mature perspective.
0.019897608,./gpt_bigram.csv,Enhance clarity and tenderness in rewriting the story of a cute kitten in the morning.
0.020066408,./gpt_bigram.csv,"Rewrite the essay in the style of the families to improve coherence, as suggested by Mormon Hill. [Footnote 1: Alexander Bain]"
0.020462159,./gpt_bigram.csv,Rewrite this using John and his subtle comment.
0.020625163,./gpt_bigram.csv,Make it more kind than light irony.
0.020697398,./gpt_bigram.csv,Rewrite the text to be more respectful towards the church and to evoke a sense of irritation through deep breaths.
0.020922862,./gpt_bigram.csv,Transform the text to emphasize the gentle nature of the trees.
0.021046456,./gpt_bigram.csv,Revise the text to emphasize the importance of accurately spelling the lyrics of a jazz song.
0.02109815,./gpt_bigram.csv,Revitalize the censored word / gritty.
0.021601727,./gpt_bigram.csv,"Rephrase the given sentence as ""Revise the genuine depiction of air."""
0.021606294,./gpt_bigram.csv,Improve the tone of the two.
0.021709457,./gpt_bigram.csv,Rewrite this article in the style of Sir Andrew Findlater.
0.021775024,./gpt_bigram.csv,"Refine a beverage to complement the elegant outfit with a solemn tone that reaches halfway into the essay, serving as a manifesto for a more splendid appearance."
0.021902695,./gpt_bigram.csv,Update a detective's speech to a more contemporary style.
0.022002406,./gpt_bigram.csv,Rewrite the essay so that it is clear they were listening attentively.
0.02200803,./gpt_bigram.csv,Revise this text as a seasoned sailor to appreciate it like a veteran mariner delighted in diversity.
0.022041421,./gpt_bigram.csv,Edit it into a letter of the Eocene strata.
0.022240374,./gpt_bigram.csv,Revitalize the text with the fervor and passion of a captivating preacher.
0.022333123,./gpt_bigram.csv,Please rewrite this into a compelling post highlighting the differences in a medieval quest.
0.022339627,./gpt_bigram.csv,Revise it to broaden the appeal to jackets and establish a conversation between these texts involving the duchess.
0.022345245,./gpt_bigram.csv,Edit it rigorously.
0.02255839,./gpt_bigram.csv,Revise a blues song lyric.
0.02257883,./gpt_bigram.csv,Revise a detective's internal monologue to make it more impactful.
0.022787584,./gpt_bigram.csv,Please rewrite this as a letter that highlights the narrative to be performed in Sironcha.
0.022893064,./gpt_bigram.csv,Edit it as if it centers on newly established social norms and her father's statement.
0.022938475,./gpt_bigram.csv,Edit a welcoming speech to sound more stern and cautious.
0.022941237,./gpt_bigram.csv,Rewrite the characters in the style of a charismatic preacher.
0.022969982,./gpt_bigram.csv,Revamp a dialogue between the elements of fire.
0.02300978,./gpt_bigram.csv,Revise the sentence to make it more casual in a historical context.
0.023119902,./gpt_bigram.csv,Please rephrase this text as if it were written by someone who values history the most.
0.023130057,./gpt_bigram.csv,Please revise this as if it were a lecture on how to choose the right house.
0.023295352,./gpt_bigram.csv,Modernize the letter from John Stuart.
0.023337506,./gpt_bigram.csv,Revise a disclosure to persuade a city-wide artwork to incorporate a more casual language.
0.02339457,./gpt_bigram.csv,Transform into a language with clear and honest expression. [Illustration: the 1890s.]
0.0234553,./gpt_bigram.csv,Edit a feeling of being educated to enhance it.
0.023501815,./gpt_bigram.csv,Edit a sermon in English.
0.02353279,./gpt_bigram.csv,Rewrite this document in Aberdonian dialect.
0.023561662,./gpt_bigram.csv,"Modernize the text ""My sin was that I did not idle into a space a speech by George Barr McCutcheon"" into a Banco format."
0.023574743,./gpt_bigram.csv,"Transform the text to ""Transform the scene of the professor at the sea saying he was a good one to be Feeney, enhancing clarity and description."""
0.023611007,./gpt_bigram.csv,Rewrite this to capture the essence of elegant molecular beauty.
0.02362077,./gpt_bigram.csv,Rewrite this as if it is a public announcement regarding the importance of having a balanced knowledge of methanogens in English language learning.
0.023694454,./gpt_bigram.csv,Revise this passage to help them live in harmony with more than just the tune.
0.02387092,./gpt_bigram.csv,Enhance the internal dialogue rewrite with the rock.
0.023896057,./gpt_bigram.csv,Revamp this as if it were boring.
0.023947334,./gpt_bigram.csv,Edit the text to incorporate the essence of the tortoise shell.
0.024010578,./gpt_bigram.csv,"Rewrite this to: ""Dark silk stockings make for a more formal look. Capitalize every noun and provide descriptions for each caption about a bottle."""
0.0241781,./gpt_bigram.csv,"Please rewrite the essay to make it more cohesive and articulate. Also, clarify whether Jack was a genuine scientist based on the argument presented in the essay."
0.024200065,./gpt_bigram.csv,Transform the text to include a detailed explanation of considerate friendliness within the essay about extraterrestrial communication.
0.024256824,./gpt_bigram.csv,Change this to a classic in color.
0.024286158,./gpt_bigram.csv,Provide more details on whether you are attempting to rewrite this text on unemployment in Scotland or not.
0.02432174,./gpt_bigram.csv,Rewrite this content to enhance it as if it were a delicate mixture that would flow into a series of her endearing collection of jokes reshaping the universe.
0.024359003,./gpt_bigram.csv,"Revise a serious tone to a more lighthearted tone in Salome's text: ""One moment."""
0.024365429,./gpt_bigram.csv,Please rewrite the text as if he is giving a chair's TED talk.
0.024368007,./gpt_bigram.csv,"Rewrite the composition without altering the original message, highlighting the importance of technology and discussing the pursuit of truth in a murder investigation that transitions from conventional to more innovative methods."
0.024409166,./gpt_bigram.csv,Revise and enhance an essay focusing on distinctive features of rural areas.
0.024409518,./gpt_bigram.csv,"Rewrite the message ""Lay a base of historical fiction and fields richly adorned with lace straps around each character like Oyama."""
0.024417749,./gpt_bigram.csv,Reconfigure a clearer version of the stooped and angry character in the essay set in Shanhaikwan.
0.02446406,./gpt_bigram.csv,"Rewrite the phrase ""the beautiful girl"" as a guideline to be used in dialogue between characters."
0.024466094,./gpt_bigram.csv,Upgrade a warning from other forms of poetry while preserving its essence.
0.024520176,./gpt_bigram.csv,"Transform the whimsical story of a deceased woman into a more grounded narrative, keeping in mind the gentle touch of nostalgia and mystery conveyed through hidden messages."
0.024527175,./gpt_bigram.csv,Revise the carefully graded story with us.
0.024538863,./gpt_bigram.csv,Clarify a speech.
0.02459461,./gpt_bigram.csv,Please transform this text figuratively to align closely with Mrs. interests.
0.02460271,./gpt_bigram.csv,Revise this character's personality.
0.0246098,./gpt_bigram.csv,Transform a part of this essay into beatnik poetry slam style.
0.02464322,./gpt_bigram.csv,Revitalize this topic by transforming it using Holman F.
0.024655975,./gpt_bigram.csv,Clarify this text from the highest point to their doorstep.
0.024750879,./gpt_bigram.csv,Revamp the main character interaction.
0.024777101,./gpt_bigram.csv,Rework the text to honor it as a collaboration resembling an essay by Eleanor M.
0.024810508,./gpt_bigram.csv,Revise this text using adjectives about a cigarette.
0.024872119,./gpt_bigram.csv,Edit a line on ergonomics and color.
0.024882391,./gpt_bigram.csv,Rewrite or refine this excerpt from an explorer's journal to better reflect the atmosphere of the hospitable region.
0.024916623,./gpt_bigram.csv,Revise this essay with Makarov to liven it up.
0.02493535,./gpt_bigram.csv,"Transform the text into a data analysis, maintaining the writing style akin to a recollection of a fond memory from my father in a concise manner."
0.024960918,./gpt_bigram.csv,Transform a steamy romance novel by rewriting it as a pleasant 60s peace speech.
0.02502371,./gpt_bigram.csv,Transform a dialogue between philosophers so it can be more impactful.
0.025061175,./gpt_bigram.csv,"Please improve the readability by softly walking across the courtyard, remarked the dry touch with an honorable and eerie tone, shaping the story with a layer of sympathy."
0.025089199,./gpt_bigram.csv,Transform the text into a poem resembling the style of Charles E.
0.02510286,./gpt_bigram.csv,Reconstitute the essay by adding a body paragraph on the significance of peat.
0.025121495,./gpt_bigram.csv,Transform the text into a cheerful noir vibe and rephrase it as a market research proposal for a public apology.
0.025124146,./gpt_bigram.csv,Transform a college acceptance letter into a modernized version.
0.025131846,./gpt_bigram.csv,Enhance the tone of the style in a journal entry from a human colony on Mars.
0.025142746,./gpt_bigram.csv,Rewrite this idea in a calm manner like Gabriel.
0.02519173,./gpt_bigram.csv,Edit a proclamation by Telford and the Young.
0.025208024,./gpt_bigram.csv,Please rewrite this text as if it were by Kurt Vonnegut.
0.025212655,./gpt_bigram.csv,Edit this as if you are agreeing with yourself.
0.025216488,./gpt_bigram.csv,Rewrite this with fewer adjectives.
0.025221145,./gpt_bigram.csv,Revamp this as a valuable skill and a consistent practice to cultivate in writing.
0.025235787,./gpt_bigram.csv,"""Convert Loch Avon into a guidebook for British correspondents, focusing on self-awareness and thought-provoking insights. Rewrite the guide to emphasize positivity and enlightenment."""
0.025268823,./gpt_bigram.csv,Edit this text as if it's a rule or guideline for the language used in tweets from the moon.
0.025305182,./gpt_bigram.csv,Please reword this to sound like a description from a luxury yacht brochure.
0.025305914,./gpt_bigram.csv,Amend this as if it were written at first.
0.025322165,./gpt_bigram.csv,Rewrite this as a brochure for Carlyle to tone down the straightforward advice and make it more accessible.
0.02534754,./gpt_bigram.csv,Revise this topic as if it were a daisy chain.
0.025375856,./gpt_bigram.csv,Transform this text into a more formal business impact statement and ensure it conveys the message that it was delivered to Bagot's cottage.
0.02538994,./gpt_bigram.csv,Revamp this to be a teacher's advice.
0.025403231,./gpt_bigram.csv,Improve the line for speaker's professionalism and shift the perspective to thousands of years.
0.025416192,./gpt_bigram.csv,Rewrite a dialogue between two characters before they smile.
0.025418637,./gpt_bigram.csv,Improve how you use and license works to turn it into an echo.
0.025438612,./gpt_bigram.csv,Transform the text into a dialogue between a bungalow and a returning visitor.
0.025476554,./gpt_bigram.csv,Enhance the wording: Make the old red as gentle as pearls.
0.02548591,./gpt_bigram.csv,"""Rewrite this essay to reflect her true self, and edit it to honor the loyal friends."""
0.025492013,./gpt_bigram.csv,Revise your history essay to imbue it with wisdom and resilience.
0.025495406,./gpt_bigram.csv,Edit a serious theme
0.025503729,./gpt_bigram.csv,Transform a letter by making it bold.
0.025541028,./gpt_bigram.csv,"Rewrite the inspirational sports car article with a modern and satirical tone, emphasizing the effort put into its creation."
0.025595857,./gpt_bigram.csv,Transform this into a darker tone.
0.025606263,./gpt_bigram.csv,Paraphrase the text into a heartfelt tribute to Kwantung Waters.
0.025619904,./gpt_bigram.csv,Enhance this paragraph as if it were an offer during times of strategic warfare.
0.025620198,./gpt_bigram.csv,Rephrase this text as if it were taut--similar to the markets in the south.
0.025654748,./gpt_bigram.csv,"Rewrite this essay to enhance its flat fee as the levitation, injecting a touch of humor to liven up the art critique."
0.025717575,./gpt_bigram.csv,Revamp the essay by placing blame carefully.
0.025738863,./gpt_bigram.csv,Change this as one character singing with a focus on the text in the end.
0.025743218,./gpt_bigram.csv,Revise this delve of reasoning.
0.025746176,./gpt_bigram.csv,Revitalize the story by repairing the damage.
0.025753051,./gpt_bigram.csv,Please rewrite the hearty man.
0.025753107,./gpt_bigram.csv,Transform the text into a transcript highlighting the key points of the essay focused on their youth.
0.025783865,./gpt_bigram.csv,Rewrite this text as a profound and compassionate transformation to enhance its impact in a medieval context of war machines.
0.025785819,./gpt_bigram.csv,Rewrite the mood of a poem about deer to convey a deeper and more engaging tone.
0.025796685,./gpt_bigram.csv,Please paraphrase this text into a landmark quote from him.
0.02581938,./gpt_bigram.csv,Edit a letter instead of making it hotter.
0.02582389,./gpt_bigram.csv,"Redesign this analysis as desired. Please craft it as advice to be whispered to him (like giving a eulogy for example). Instead of focusing on a specific situation, focus on a general perspective."
0.025846066,./gpt_bigram.csv,Revitalize the story for a mature audience to emphasize the human experience.
0.025866421,./gpt_bigram.csv,Revise this from a different perspective to make it more challenging.
0.02586808,./gpt_bigram.csv,Redesign this essay about our love for Ireland.
0.025899343,./gpt_bigram.csv,Clarify it as a critique by writing cohesively.
0.025912255,./gpt_bigram.csv,Improve the weary dialogue.
0.025913602,./gpt_bigram.csv,"Transform the text below:

""Help him as much as he assisted you.""

The prompt should be: ""Rewrite the text as he helped him then."""
0.025954783,./gpt_bigram.csv,"Rewrite the passage ""the upper reaches of smoke--clots of it were confined"" into a more refined form suitable for a formal letter."
0.025961282,./gpt_bigram.csv,Revise the text to provide a crucial guide on crafting a survival essay through emphasizing the importance of using high-frequency English words effectively.
0.02596556,./gpt_bigram.csv,Transform this into a kinder way to provide feedback.
0.025966052,./gpt_bigram.csv,Please revise the poet laureate in a series of the others.
0.025976447,./gpt_bigram.csv,Transform the following text into a strong feminist perspective.
0.025982192,./gpt_bigram.csv,Edit a dialogue between organizations.
0.026002327,./gpt_bigram.csv,Rephrase a teacher's advice.
0.026006559,./gpt_bigram.csv,Modify just one word slightly.
0.02608754,./gpt_bigram.csv,Revise a sarcastic portrayal.
0.02614903,./gpt_bigram.csv,"Revise this text so it reads: ""I swiftly flew out how they stood with women."""
0.026185187,./gpt_bigram.csv,"Improve the readability of the text: ""Her whole being was filled with ardor as she continued to toil over the coal, piecing together what had mostly been a collection of disjointed elements. The culmination of her efforts was a magnificent shower that marked the return of a long-kept secret."""
0.02621381,./gpt_bigram.csv,Summarize the essay in clear and proficient language.
0.026215008,./gpt_bigram.csv,Rephrase a compulsory statement as a piece of guidance from an educator.
0.026227046,./gpt_bigram.csv,Clarify a dialogue.
0.026239237,./gpt_bigram.csv,Rewrite this content to cater to a younger audience with keener observation skills.
0.026245719,./gpt_bigram.csv,Please transform this text as if all adjectives were removed.
0.026247483,./gpt_bigram.csv,Rephrase this essay to make it duller.
0.026279166,./gpt_bigram.csv,Edit this as an environmental conservation document.
0.02628838,./gpt_bigram.csv,Rewrite a debt recovery letter in a more current style.
0.026320087,./gpt_bigram.csv,Adapt it into a slightly longer version.
0.026347598,./gpt_bigram.csv,"Revise the text to convey that the natives have tacitly acknowledged her father's remarkable passion during a festive celebration, showing me the picturesque scene reminiscent of quaint English countryside with a small sergeant present."
0.026360927,./gpt_bigram.csv,Revise this as well as a different musician.
0.026369289,./gpt_bigram.csv,Revitalize this draft to reflect old English style.
0.026373412,./gpt_bigram.csv,Rephrase this as a statement for a Victorian-era love letter but with a tone implying longing to be replaced.
0.026375089,./gpt_bigram.csv,"Rewrite the last part of the popular novel, gradually moving away from satire and adding an element of wisdom to her father now."
0.02639014,./gpt_bigram.csv,Transform the text to make it more curious about someone's aversion to death.
0.026409311,./gpt_bigram.csv,Rephrase this to be much less weighty.
0.02641575,./gpt_bigram.csv,Revise a conversation between molecules.
0.02643095,./gpt_bigram.csv,Rewrite the exclusion or legend to enhance clarity and excitement.
0.026439862,./gpt_bigram.csv,Rewrite the text to reflect the transition from a jester to a respected guest who has gained wisdom from the old sages and is mourning the loss of his wife.
