,score,file,rewrite_prompt,id,original_text,category
10,0.020922862,./gpt_bigram.csv,Transform the text to emphasize the gentle nature of the trees.,11,In love and in happiness. No more will we stumble fall By the canal bushes That May Amsterdam fun bliss. Reckless into each others hearts As bed fell apart And crashed slept chaos!,poetry
11,0.021046456,./gpt_bigram.csv,Revise the text to emphasize the importance of accurately spelling the lyrics of a jazz song.,12,"Simpson was known to have taken performance-enhancing drugs during his career, when no doping controls existed. He is held in high esteem by many cyclists for his character and will to win. The Last Tour on Earth is a live album comprising recordings from Marilyn Simpson was known to have taken performance-enhancing drugs during his career, when no doping controls existed. He is held in high esteem by many cyclists for his character and will to win. The Last Tour on Earth is a live album comprising recordings from Marilyn Manson's Mechanical Animals Tour, Beautiful Monsters Tour and Rock is Dead Tour. On the studio version of ""The Dope Show"", Manson says that drugs ""are made in California"", but in",facts
12,0.02109815,./gpt_bigram.csv,Revitalize the censored word / gritty.,13,"Mysore. The kingdom, which was ruled by the Wodeyar family, initially served as a vassal state of the Vijayanagara Empire. With the decline of the Vijayanagara Empire (c. 1565), the kingdom became independent. The 17th century saw a steady expansion of its territory and during the rule of Narasaraja Wodeyar I and Chikka Devaraja Wodeyar, the kingdom annexed large expanses of what is now southern Karnataka and parts of Tamil Nadu to become a powerful",facts
13,0.021601727,./gpt_bigram.csv,"Rephrase the given sentence as ""Revise the genuine depiction of air.""",14,"God against me: these were thoughts which very seldom entered my head. The growing up of the corn, as is hinted in Journal, had at first some little influence upon me, and began to affect me with seriousness, long I thought it something",fiction
14,0.021606294,./gpt_bigram.csv,Improve the tone of the two.,15,"Thurston: To the devil with thee and thy battle-axe; I would send pair of ye back in your tracks, With an answer that even to boorish brain Would scarce need repetition again. Osric: Thou Saxon slave a milksop knight, will give body raven kite. liest; am",poetry
15,0.021709457,./gpt_bigram.csv,Rewrite this article in the style of Sir Andrew Findlater.,16,She entered the hospital because of Sweet's syndrome symptoms (skin lesions). I've looked through last two years Medline and didn't find an abstract mentioning a correlation between thyroid Sweets. . I checked handbook which said that was associated with leukemia. I'd like reccomndation for experts who are in New York City or travel to City. For sweets perhaps endocrinology.,emails
16,0.021775024,./gpt_bigram.csv,"Refine a beverage to complement the elegant outfit with a solemn tone that reaches halfway into the essay, serving as a manifesto for a more splendid appearance.",17,"Cortes knew Hatcher, who worked as a children's dentist. Authorities have also not named anyone else suspect or person of interest in the case. The Dallas Police Department is asking with information on case to contact its homicide unit at",news
17,0.021902695,./gpt_bigram.csv,Update a detective's speech to a more contemporary style.,18,"In July 2012, Halstock's Parish church of St Mary was rededicated by the Bishop Sherborne to become ""St Juthware and Mary"", in recognition local tradition. Much rebuilt 1770, with only 15th-century west tower not being affected. The nave chancel were again on separate dates 19th century. Halstock lies within an electoral ward same name, which also contains several nearby",facts
18,0.022002406,./gpt_bigram.csv,Rewrite the essay so that it is clear they were listening attentively.,19,"Anne knew not how to understand it. She had the kindest ""Good morning, God bless you!"" from Captain Harville, but him a word, nor look! He passed out of room without only time, however, move closer table where he been writing, when footsteps were heard returning; door opened, it",fiction
19,0.02200803,./gpt_bigram.csv,Revise this text as a seasoned sailor to appreciate it like a veteran mariner delighted in diversity.,20,"The ferry opened in May 2017, with the Bay Ridge serving southwestern Brooklyn and East River Ferry northwestern Brooklyn. A third route, Rockaway ferry, makes one stop borough at Army Terminal. streetcar line, BrooklynâQueens Connector, was proposed by city February 2016, planned timeline calling",facts
20,0.022041421,./gpt_bigram.csv,Edit it into a letter of the Eocene strata.,21,"You remember the George Henry Crosses? Theyâve packed up twelve trunks in despair. Heâs the boss of the back-station bosses, And Ernieâs the son and the heir. He has never You remember the George Henry Crosses? Theyâve packed up twelve trunks in despair. Heâs the boss of the back-station bosses, And Ernieâs the son and the heir. He has never put hands on a wether, Nor heard a pithed store-bullock grunt; So theyâre taking the mailboat to England To see Ernie safe to the Front. And each of the war-going parsons",poetry
21,0.022240374,./gpt_bigram.csv,Revitalize the text with the fervor and passion of a captivating preacher.,22,"Finger said he devised the name Bruce Wayne for the character's secret identity: """"Bruce Wayne's first name came from Robert the Bruce, the Scottish patriot. Wayne, being a playboy, was a man of gentry. I searched for a name that would suggest colonialism. I tried Adams, HancockÂ ...then I thought of Mad Anthony Wayne."""" He later said his suggestions were influenced by Lee Falk's popular """"The Phantom"""", a syndicated newspaper comic-strip character Finger said he devised the name Bruce Wayne for the character's secret identity: """"Bruce Wayne's first name came from Robert the Bruce, the Scottish patriot. Wayne, being a playboy, was a man of gentry. I searched for a name that would suggest colonialism. I tried Adams,",facts
22,0.022333123,./gpt_bigram.csv,Please rewrite this into a compelling post highlighting the differences in a medieval quest.,23,Amazing Increabl as the french would say if they had any sense Anyway i couldn t go to Ju jitsu last night which was a shame Damn thumb Anyway tonight i shall drink and those around me shall drink and there shall be much rejoicing unless you are all manic depressants and yes it is very brave of you Amazing Increabl as the french would say if they had any sense Anyway i couldn t go to Ju jitsu last night which was a shame Damn thumb Anyway tonight i shall drink and those around me,Blogs
23,0.022339627,./gpt_bigram.csv,Revise it to broaden the appeal to jackets and establish a conversation between these texts involving the duchess.,24,"Her Poems never will be printed: Sickness is a Feint, no doubt, To keep her Book from coming out. Of Wit, says Celia, I'll acquit her; Then archly fell into Titter. A Female Bard! Pulvillio cries; 'Tis possible she may wise; But I",poetry
24,0.022345245,./gpt_bigram.csv,Edit it rigorously.,25,"I felt sick and faint after my sufferings of the previous night, had besides a racking headache. It was curious meal. The gloom so intense that we could scarcely see way to cut our food",fiction
25,0.02255839,./gpt_bigram.csv,Revise a blues song lyric.,26,"Time and repetition--ah, the wonder of it! The dropping water solid stone--how utterly it yields at last! Not long after this matinee experience--perhaps a month--Mrs. Vance invited Carrie to an evening theatre with them. She heard say that Hurstwood was not coming home dinner. âWhy don't you come us? Don't get dinner for yourself. We're going down",fiction
26,0.02257883,./gpt_bigram.csv,Revise a detective's internal monologue to make it more impactful.,27,"Can you give an example of a >commonly diagnosed ailment that think is quack diagnosis, >or have we gotten to the point in civilization where no longer >need worry about unscrupulous ""healers"" taking advantage >people.",emails
27,0.022787584,./gpt_bigram.csv,Please rewrite this as a letter that highlights the narrative to be performed in Sironcha.,28,"Poor dear! I knew we should! I was certain of it. Bless his heart! I said so all along.' Having heard this, the worthy old lady hurried back into the parlour again; and seating herself on a sofa, burst into tears. The girl, who was not quite so Poor dear! I knew we should! I was certain of it. Bless his heart! I said so all along.' Having heard this, the worthy old lady hurried back into the parlour again; and seating herself on a sofa, burst into tears. The girl, who was not quite so susceptible, had run upstairs meanwhile; and now returned with a request that Mr. Bumble would follow her immediately: which he did. He was shown into the little back study, where sat Mr.",fiction
28,0.022893064,./gpt_bigram.csv,Edit it as if it centers on newly established social norms and her father's statement.,29,War II. The station still operates as a radar and aircraft refueling with staff of about 180 people. 2000 census reported an official resident population 27 persons on the island. One most recognizable features island is COBRA DANE system. This was built in 1976 brought on-line 1977 for,facts
29,0.022938475,./gpt_bigram.csv,Edit a welcoming speech to sound more stern and cautious.,30,"Thou, who, to my thinking, art beyond all doubt a dullard, without early rising or night watching or taking any trouble, with the mere breath of knight-errantry that has breathed upon thee, seest thyself without more Thou, who, to my thinking, art beyond all doubt a dullard, without early rising or night watching or taking any trouble, with the mere breath of knight-errantry that has breathed upon thee, seest thyself without more ado governor of an island, as though it were a mere matter of course. This I say, Sancho, that thou attribute not the favour thou hast received to thine own merits, but give thanks to heaven that disposes matters",novel
30,0.022941237,./gpt_bigram.csv,Rewrite the characters in the style of a charismatic preacher.,31,"I'm like a dress my mother made me, fabric self split open with sigh as I grew andÃ¢â¬âbewildered or proud full of rageÃ¢â¬âpatched nicer material than we'd had before. got the sense it was all wasted on me. But needle's sharp to pierce, is itself piercedÃ¢â¬âso sew taught. Like learned: no could",poetry
31,0.022969982,./gpt_bigram.csv,Revamp a dialogue between the elements of fire.,32,"Northwestern] job,"" Dreger wrote on her blog. ""But I also recognize that I donÃ¢â¬â¢t need it, and I can't work in a place where my dean thinks he can censor the work of the faculty. Feeling like I have my integrity has always given Northwestern] job,"" Dreger wrote on her blog. ""But I also recognize that I donÃ¢â¬â¢t need it, and I can't work in a place where my dean thinks he can censor the work of the faculty. Feeling like I have my integrity has always given me more strength than any academic affiliation ever could."" Read Alice Dreger's resignation letter:",news
32,0.02300978,./gpt_bigram.csv,Revise the sentence to make it more casual in a historical context.,33,"He was one of the most important German composers 17th century, a friend Dieterich Buxtehude and major influence on Johann Sebastian Bach; however, very few his works survive to this day. ""The War Prayer"" is an episode from first season science fiction television series Babylon 5. The title",facts
33,0.023119902,./gpt_bigram.csv,Please rephrase this text as if it were written by someone who values history the most.,34,"In his surprise at the suddenness of change, and extent freedom, he bethought him a daring plan, by which ghost Katharine could be more effectually exorcised than mere abstinence. He would ask her to come home with tea. force through mill family life; place in light unsparing",fiction
34,0.023130057,./gpt_bigram.csv,Please revise this as if it were a lecture on how to choose the right house.,35,"SELF. Her daughter Karlie has severe FASD and at age 43 the intellectual capacity of a first-grader. Mitchell simply did not know that alcohol could be harmful to fetus, stresses importance educating women, their partners, doctors about risks. There are many myths misconceptions surrounding use during pregnancy. SELF spoke",news
35,0.023295352,./gpt_bigram.csv,Modernize the letter from John Stuart.,36,"The series also was presented by Screen Gems, the television arm of Columbia Pictures (now Sony Television). Ruff and Reddy premiered in December 1957 ran for fifty episodes until April 1960, comprising three seasons. Hanna Barbera created as first their fledgling operation, named H-B Enterprises. ""buddy"" theme had previously been explored Tom Jerry theatrical",facts
36,0.023337506,./gpt_bigram.csv,Revise a disclosure to persuade a city-wide artwork to incorporate a more casual language.,37,"Christian life. Therefore, why can't we show the same compassion for those who were not as fortunate as us to be born in this great country; and who are seeking refuge from violence and turmoil? Christian life. Therefore, why can't we show the same compassion for those who were not as fortunate as us to be born in this great country; and who are seeking refuge from violence and turmoil? Why do we shun those who wish to live in a country where they can practice their religion freely and without reprisal? They are like Mary and Joseph, seeking to literally save their",news
37,0.02339457,./gpt_bigram.csv,Transform into a language with clear and honest expression. [Illustration: the 1890s.],38,"Alberto Ascari finished 2nd for Ferrari and Louis Chiron 3rd Maserati. The 34th International 500-Mile Sweepstakes was held at the Indianapolis Motor Speedway on Tuesday, May 30, 1950. event part of 1950 AAA National Championship Trail. It also race 3 7 in World Drivers paid points towards Championship. event, however, did not attract any European entries Giuseppe Farina originally planned to enter,",facts
38,0.0234553,./gpt_bigram.csv,Edit a feeling of being educated to enhance it.,39,"FUKUSHIMA Ã¢â¬â Wild boars are taking a toll on agriculture in Fukushima Prefecture as farmers struggle to bounce back from the planting bans imposed after meltdowns at No. 1 power plant March 2011.~The multiplying and entering areas they previously avoided underbrush once routinely cleared nearby mountains grows back, affording them places hide.~This could be due conflict with your ad-blocking",news
39,0.023501815,./gpt_bigram.csv,Edit a sermon in English.,40,"My well-hid friend, An anorexic cast to him; His bony pallor Is ivory white- He only looks Well dressed at night. He's always there, Sealed off from air, And he hasn't any hair; He doesn't need To groom at all, My well-hid friend, An anorexic cast to him; His bony pallor Is ivory white- He only looks Well dressed at night. He's always there, Sealed off from air, And he hasn't any hair; He",poetry
40,0.02353279,./gpt_bigram.csv,Rewrite this document in Aberdonian dialect.,41,"Pentateuch continue to call it Targum Jonathan to this day. Most scholars refer to the text as Targum Pseudo-Jonathan, or with the acronym TPsJ. The Talmud relates that Yonatan ben Uziel, a student of Hillel, fashioned an Aramaic translation of the Prophets (Megillah 3a). It makes no mention of any translation by him of the Torah. So all scholars agree that this Targum is not due to Yonatan ben Uziel. Indeed, de Rossi",facts
41,0.023561662,./gpt_bigram.csv,"Modernize the text ""My sin was that I did not idle into a space a speech by George Barr McCutcheon"" into a Banco format.",42,I know it s been a few days since i ve able to write but that because was staying with my parents for the weekend celebrate fathers day It fun We went grocery shopping and mom paid all of groceries,Blogs
42,0.023574743,./gpt_bigram.csv,"Transform the text to ""Transform the scene of the professor at the sea saying he was a good one to be Feeney, enhancing clarity and description.""",43,"Slovene; how you very nearly popped your clogs as we fought to get name cleared; were our stag set upon by dogs, indestructible in duffel coat and/or beard, the indescribable beard; years of silence second wife whose whereabouts remain uncertain; a paean flowering late life some council",poetry
43,0.023611007,./gpt_bigram.csv,Rewrite this to capture the essence of elegant molecular beauty.,44,"Harrington estate includes the following structures: staff cottage upper guest lower boat house and paddleboat dock long (located northeast of retreat) The lake itself area around it are referred to as Lac Mousseau. name is thought be a misspelling Hetherington, family which settled in this area. French",facts
44,0.02362077,./gpt_bigram.csv,Rewrite this as if it is a public announcement regarding the importance of having a balanced knowledge of methanogens in English language learning.,45,"Cathy! Oh, my life! how can I bear it?' was the first sentence he uttered, in a tone that did not seek to disguise his despair. And now he stared at her so earnestly that I thought the very intensity of his gaze would bring tears into his eyes; but they burned with anguish: they did not melt. 'What now?' said Catherine, leaning back, and returning his look Cathy! Oh, my life! how can I bear it?' was the first sentence he uttered, in a tone that did not seek to disguise his despair. And now he stared at her so",fiction
45,0.023694454,./gpt_bigram.csv,Revise this passage to help them live in harmony with more than just the tune.,46,"Greeks, they would have erected a trophy on the spot. CHAPTER XXVIII. OF MATTERS THAT BENENGELI SAYS HE WHO READS THEM WILL KNOW, IF HE READS THEM WITH ATTENTION When the brave man flees, treachery is manifest and it is for wise men to reserve themselves for better occasions. This proved to be the case with Don Quixote, who, giving way before the fury Greeks, they would have erected a trophy on the spot. CHAPTER XXVIII. OF MATTERS THAT BENENGELI SAYS HE WHO READS THEM WILL KNOW, IF HE READS THEM WITH ATTENTION When the brave man flees, treachery is manifest and it is for wise men to",novel
46,0.02387092,./gpt_bigram.csv,Enhance the internal dialogue rewrite with the rock.,47,"Polynesian languages. This article is a list of known monuments dedicated to Vladimir Lenin. Important regions and capital cities countries are highlighted in bold. John Daniel Runkle (October 11, 1822 â July 8, 1902) was U.S. educator mathematician. He served as acting president MIT from 1868â70 between 1870",facts
47,0.023896057,./gpt_bigram.csv,Revamp this as if it were boring.,48,"Well, I don't blame you, and I don't believe but what your uncle would like you to have a little change. What shall you want to take with you? I'll pack enough to last you for Well, I don't blame you, and I don't believe but what your uncle would like you to have a little change. What shall you want to take with you? I'll pack enough to last you for two or three days."" ""I shall want to take Hetty,"" said Ruth. ""Of course. You'll be going to-morrow, Martin says, for Mr. Mayfield",novel
48,0.023947334,./gpt_bigram.csv,Edit the text to incorporate the essence of the tortoise shell.,49,"Omar Moreno before him, is a perfect leadoff >man. Awesome defense.) Well, yeah. On the other hand, for the first few years of his career he looked like Herb Washington. Dan Gladden doesn't seem to suck defensively, either. >>>Darnell Coles >He's still around because of his 1986, when he hit 20 HR. Yeah, and how many of the white guys played one year into a long career? It's actually not an uncommon phenomenon, and how",emails
49,0.024010578,./gpt_bigram.csv,"Rewrite this to: ""Dark silk stockings make for a more formal look. Capitalize every noun and provide descriptions for each caption about a bottle.""",50,"All it takes is willingness to change and practice. First... let's identify the pain: P -- Problem focused rather than on solutions thinking. What problem? A --Always complaining about problem which draining your energy, mojo, life force I Insisting explaining limitations surrounding yourself then believing them N Never taking responsibility for always blaming others or maybe",news
50,0.0241781,./gpt_bigram.csv,"Please rewrite the essay to make it more cohesive and articulate. Also, clarify whether Jack was a genuine scientist based on the argument presented in the essay.",51,"Rule,"" which concludes that it is best not to deliberately piss people off, as they will likely then involve themselves in your life, a manner you won't like. This verifiable; when ""get someone's face,"" often retaliate. Another objective fact about morality",emails
51,0.024200065,./gpt_bigram.csv,Transform the text to include a detailed explanation of considerate friendliness within the essay about extraterrestrial communication.,52,"Clare's shape appeared at the door. ""You must not work like this,"" he said. ""You are not my servant; you are my wife."" She raised her eyes, and brightened somewhat. ""I may think myself that--indeed?"" she murmured, in piteous raillery. ""You mean in name! Well, I don't want to be anything more."" ""You MAY think so, Tess! You are. What do you mean?"" ""I don't know,"" she said hastily, with tears in her accents. ""I thought",fiction
52,0.024256824,./gpt_bigram.csv,Change this to a classic in color.,53,I took a no dress and went to study hall Wow wierd people in Really found out the only final really have for is English And my butt off keep an A But after school walked home then KLT came over we studied math Well didn t,Blogs
53,0.024286158,./gpt_bigram.csv,Provide more details on whether you are attempting to rewrite this text on unemployment in Scotland or not.,54,"Then he listened intently, and with painful uncertainty, for the sounds of hostility in the quarter where Uncas was left; but nothing was audible except the sighing of the wind, that began to sweep over the bosom of the forest in gusts which threatened a tempest. At length, yielding rather to his unusual impatience than taking counsel from his knowledge, he determined to bring matters to Then he listened intently, and with painful uncertainty, for the sounds of hostility in the quarter where Uncas was left; but nothing was audible except the sighing of the wind,",fiction
54,0.02432174,./gpt_bigram.csv,Rewrite this content to enhance it as if it were a delicate mixture that would flow into a series of her endearing collection of jokes reshaping the universe.,55,"We can see the whole scene at a glance, stolid unconsciousness of Sancho and perplexity his master, upon whose perception incongruity has just forced itself. This is Sancho's mission throughout book; he an unconscious Mephistopheles, always unwittingly making mockery",novel
55,0.024359003,./gpt_bigram.csv,"Revise a serious tone to a more lighthearted tone in Salome's text: ""One moment.""",56,"He spends the whole day in settling whether Homer expressed himself correctly or not such and a line of Iliad, Martial was indecent an epigram, lines Virgil are to be understood this way that; short, all his talk is works these poets, those Horace, Perseus, Juvenal, Tibullus; for moderns",novel
56,0.024365429,./gpt_bigram.csv,Please rewrite the text as if he is giving a chair's TED talk.,57,"Should we take the pictures to a >radiologist for second opinion? (and if so, where would find >such an expert in Chicago?) We don't really have any special medical >reason be concerned, but radiologist will able see >things ob-gyn can't, then I why shouldn't use one. >Any thoughts? As far as",emails
57,0.024368007,./gpt_bigram.csv,"Rewrite the composition without altering the original message, highlighting the importance of technology and discussing the pursuit of truth in a murder investigation that transitions from conventional to more innovative methods.",58,"United States. Virtually all major blood banks in the United States are accredited by AABB and more than 80 percent of hospital transfusion services in the U.S. are members. Accreditation by AABB meets the requirements of the Clinical Laboratory Improvement Amendments (CLIA) for blood bank, transfusion service, and immunohematology reference laboratory operations. The association hosts an Annual Meeting every fall, a premier United States. Virtually all major blood banks in the United States are accredited by AABB and more than 80 percent of hospital transfusion services in the U.S. are members. Accreditation by",facts
58,0.024409166,./gpt_bigram.csv,Revise and enhance an essay focusing on distinctive features of rural areas.,59,"Zora, looking her over carefully, from silken stockings to garden hat. Mrs. Vanderpool laid aside little mockery and met the situation bravely. ""No,"" she replied simply. Her eyes grew old tired. Involuntarily Zora's hand crept out protectingly lay a moment white jewelled fingers. Then quickly recovering herself, started hastily withdraw it, but woman's fingers closed around darker ones, Vanderpool's",fiction
59,0.024409518,./gpt_bigram.csv,"Rewrite the message ""Lay a base of historical fiction and fields richly adorned with lace straps around each character like Oyama.""",60,"CHAPTER XXIX IN WHICH I KEEP TRYST THE sun dropped below the forest, blood red, dyeing river its own color. There were no clouds in sky,--only a great suffusion of crimson climbing to zenith; against it woods as black war paint. The color faded and night",fiction
60,0.024417749,./gpt_bigram.csv,Reconfigure a clearer version of the stooped and angry character in the essay set in Shanhaikwan.,61,"But in either case, the needle never again, of itself, recovers original virtue thus marred or lost; and if binnacle compasses be affected, same fate reaches all others that may ship;",novel
61,0.02446406,./gpt_bigram.csv,"Rewrite the phrase ""the beautiful girl"" as a guideline to be used in dialogue between characters.",62,Don Crecelius and told him about our vision nbsp With nothing to show in support of the announced that he would be part non existent church That struck me like thief on cross who Jesus remember when you come into your kingdom every indication was there wasn t going,Blogs
62,0.024466094,./gpt_bigram.csv,Upgrade a warning from other forms of poetry while preserving its essence.,63,"That Peter Kay Thing, and in turn gave rise to the spin-off Max and Paddy's Road to Nowhere. It won the People's Choice Award at the British Comedy Awards 2002, and was nominated for several others. Kay is also its star, in multiple That Peter Kay Thing, and in turn gave rise to the spin-off Max and Paddy's Road to Nowhere. It won the People's Choice Award at the British Comedy Awards 2002, and was nominated for several others. Kay is also its star, in multiple roles, and directed the second series. The Matthew Shepard Story is a 2002 award-winning Canadian-American television film by director Roger Spottiswoode based on the true story of Matthew Shepard, a 21-year-old gay youth",facts
63,0.024520176,./gpt_bigram.csv,"Transform the whimsical story of a deceased woman into a more grounded narrative, keeping in mind the gentle touch of nostalgia and mystery conveyed through hidden messages.",64,"Satan's hierarchy. As such, the morning star can be prince of Babylon w >ho also Satan. Another passage concerning fall from heaven is >Ezekiel 28:12-19. And separately: >devil chose to try become greater than God. >he wanted sit on God's throne. >when devil was created, he one most beautiful angels in heaven. We have here three distinct claims results",emails
64,0.024527175,./gpt_bigram.csv,Revise the carefully graded story with us.,65,"She with her eyes fixed on the ground answered in modest confusion, ""I cannot tell you, senor, before so many people what it is of such consequence to me to have kept secret; one thing I wish to be known, that I am no thief or evildoer, but only an unhappy maiden whom the power of jealousy has led to break through the respect that is due to modesty."" Hearing this the majordomo said",novel
65,0.024538863,./gpt_bigram.csv,Clarify a speech.,66,Seeing her attack the jet setting while she s up to knees in a paddling pool jumping and bouncing around is one of funniest things I ve ever seen The whole experience amplified because at sisteen months old about third size should be A mini husky stopped growing seven checked thing off my list wanted do this week painted nails on,Blogs
66,0.02459461,./gpt_bigram.csv,Please transform this text figuratively to align closely with Mrs. interests.,67,"February 1925. The station and suburb were named in honour of James Vincent Hughes, mayor Oakleigh from 1924 to 1925, who, with the Poath Road Railway Station League, lobbied heavily for a new area. Before was built, Hughesdale site junctions both",facts
67,0.02460271,./gpt_bigram.csv,Revise this character's personality.,68,"Oroonoko (1688) Daniel Defoe, Robinson Crusoe (1719) Moll Flanders (1722) Samuel Richardson, Pamela, or Virtue Rewarded (1740) The following are some other early long works of prose fiction in English: William Caxton's 1483 translation Geoffroy de la Tour Landry, Book the Knight",facts
68,0.0246098,./gpt_bigram.csv,Transform a part of this essay into beatnik poetry slam style.,69,"And kissed them from your face, Then sent you home, loving ones to see laid me down die alone. Loving and missing but glad weren't there with anymore As I alone, all the stars went out, one by solitary one,",poetry
69,0.02464322,./gpt_bigram.csv,Revitalize this topic by transforming it using Holman F.,70,"In contrast, the story of art starting in Bronze-Age Europe lies mostly out of sight in galleries that lie beside and behind the Grand Staircaseâ¦. As part of the Metâs original, central structure, the new Medieval Art gallery has always been a heavily trafficked intersection. It shouldnât really work as a gallery of sacred art and yet it In contrast, the story of art starting in Bronze-Age Europe lies mostly out of sight in galleries that lie beside and behind the Grand Staircaseâ¦. As part of the Metâs original, central structure, the new Medieval",poetry
70,0.024655975,./gpt_bigram.csv,Clarify this text from the highest point to their doorstep.,71,"I shall not acquaint Madame Duval of his letter, as have reason to believe it would greatly displease her. LETTER LIV. EVELINA IN CONTINUATION. July 3rd. O SIR, how much uneasiness must suffer, counterbalance one short morning happiness! Yesterday the Branghtons proposed a party Kensington Gardens; and, usual,",fiction
71,0.024750879,./gpt_bigram.csv,Revamp the main character interaction.,72,"The program has already been a huge success: More than 51,000 Oregonians have added to the voter rolls through automatic registration since it launched in January. That's three times as many new registrations compared prior rate received DMV last presidential election. Connecticut is considering various possibilities for how allow eligible voters opt out of if they",news
72,0.024777101,./gpt_bigram.csv,Rework the text to honor it as a collaboration resembling an essay by Eleanor M.,73,"Europe, although there is no official record of such. Booker T. Washington High School for the Performing and Visual Arts is a public secondary school located in the Arts District of downtown Dallas, Texas (USA). Booker T. Washington High School enrolls students in grades 9-12 and is the Dallas Independent School District's arts magnet school (thus, it is often locally referred to simply as Arts Magnet). Many accomplished performers and artists have been educated in the school. Some",facts
