score,file,original,rewrite_prompt,id
0.020251395,./bigram_generator.csv,Edit this as quiet and love letter from a feeling educated in importance.,Edit this as a quiet love letter from a being educated in etiquette.,1
0.021189153,./bigram_generator.csv,Revise this as a celebration to be more authentic and had engaged in.,Revise this to be more engaging and authentic.,2
0.021240218,./bigram_generator.csv,Improve that conversation between a molecules elegance.,Improve the conversation between molecules.,3
0.021362288,./bigram_generator.csv,Edit this as smooth like a covert appreciation.,Smoothly covertly appreciate this edit.,4
0.02155831,./bigram_generator.csv,Overhaul this content as a somber wartime dispatch.,Transform this content into a somber wartime report.,5
0.021839859,./bigram_generator.csv,Amend this as if an englishman.,Rewrite this in a British English style.,6
0.021934614,./bigram_generator.csv,Transform this as a more friendlyrewrite my ears to william smith.,"Rewrite ""my ears"" as ""William Smith.""",7
0.021951547,./bigram_generator.csv,Modify please read the story as a sense of all.,Please rewrite the story for a different perspective.,8
0.02196892,./bigram_generator.csv,Enhance its wording; the old red but gentle like pearls....,Enhance the wording: Make the old red as gentle as pearls.,9
0.022000616,./bigram_generator.csv,Improve that could only emojis rewrite the given a scientific tone imagine this to his son and the story as a detectives deduction frame this discussion as if it were,Rewrite the given text using only emojis to give it a more scientific tone. Imagine this as a story told by a detective to his son. Frame this discussion as if it were a deduction.,10
0.022006733,./bigram_generator.csv,Modernize this text into a poignant world were a natural course.,Modernize this text into a poignant worldview narrative piece.,11
0.022088297,./bigram_generator.csv,Please read like this text in a renovate it was hereditary character development.,"Transform the text to: ""Please read this text and revise it for hereditary character development.""",12
0.022334743,./bigram_generator.csv,Edit it tigerishly.,Edit it rigorously.,13
0.022439213,./bigram_generator.csv,Please rewrite the characters in the brilliance of a charismatic preacher.,Rewrite the characters in the style of a charismatic preacher.,14
0.022507472,./bigram_generator.csv,Upgrade this text into a baby born english; if it as a question without real and sophisticated vocabulary and heart....,Rewrite this text to be simpler and more understandable; make it a question using basic language and emotion.,15
0.022672426,./bigram_generator.csv,Revamp the veins of a political commentary.,Revise the main points of a political commentary.,16
0.022741418,./bigram_generator.csv,Edit this as a reasonable fee for a prey upon the strangle-hold on the essay with a proclamation by a dark again!,Revise this text to tighten the grip on the essay with a bold statement.,17
0.022775352,./bigram_generator.csv,Transform the blur the more conversational tone.,Transform the text into a more conversational tone.,18
0.02280035,./bigram_generator.csv,Amend this topic style it met the blazing temple and details about nine lives.,Revise this topic to include the burning temple and information regarding the concept of multiple lives.,19
0.022810325,./bigram_generator.csv,Redesign this passage into a happy tone rewrite this into a series of the only comment was not protected by will occupy barely a poetic ode to this into a,Transform this passage into a cheerful tone. Rewrite it as a series of poetry that celebrates the beauty of the unprotected comments.,20
0.023121975,./bigram_generator.csv,Replace each capturing themes in 1895 is preserved an odd in danger by adding more poetical prose rewrite this as a guarantee to love letter.,"Enhance the preserved themes from 1895 by infusing them with an air of mystery and enchantment, ensuring their safekeeping amidst the tides of time.",21
0.023203058,./bigram_generator.csv,Tailor a more context .,Elaborate on the context.,22
0.023243643,./bigram_generator.csv,Rewrite it is of the essay in the style of their families in improving coherence and the essay by mormond hill] [footnote 1: alexander bain.,"Rewrite the essay in the style of the families to improve coherence, as suggested by Mormon Hill. [Footnote 1: Alexander Bain]",23
0.02329399,./bigram_generator.csv,Modernize a word with more fond of the characters in the volleys high.,Transform a word by making the characters in the passage more attached to them.,24
0.023326863,./bigram_generator.csv,Modify this through john and her little remark.,Rewrite this using John and his subtle comment.,25
0.023356829,./bigram_generator.csv,Revitalize a political commentary about an ecclesiastical changes.,Revise a political commentary on ecclesiastical reforms.,26
0.023365926,./bigram_generator.csv,Edit a dialogue between earth and more formal request form.,Revise a dialogue to a more formal format.,27
0.023399377,./bigram_generator.csv,Enhance this as such admirable sentences.,Enhance these sentences to make them more admirable.,28
0.023411669,./bigram_generator.csv,Modify please convey a sly fox .,"Please rephrase ""Convey a sly fox.""",29
0.023414228,./bigram_generator.csv,Enhance the tone rewrite the silver pines and girl and cold.,"Rewrite the ""Silver Linings Playbook"" and make it colder.",30
0.023434578,./bigram_generator.csv,Modify please retain this as if it takes to embellish the story by close at castle and focus on in the mother.,Please enhance the setting by emphasizing the castle and center the story around the mother.,31
0.02346747,./bigram_generator.csv,Enrich a punctuation mark.,Enhance a punctuation mark.,32
0.023500528,./bigram_generator.csv,Edit this as instructions left by the text into a more intrigue and did not a series of current events are hungry eagerness--in that incited by spies.,"Edit this text to be more intriguing and enigmatic, hinting at a hunger for current events incited by spies.",33
0.023513727,./bigram_generator.csv,Edit it in alliteration .example ,Transform the text into an alliterative passage.,34
0.023589643,./bigram_generator.csv,Amend it as if the stock in the weight of that taste was that neolithic celt of gadgets from the original meaning rephrase this as a formal letter of fortune--if,"Please rephrase the sentence ""The significance of that flavor is as ancient as the tools of a neolithic Celtic tribe"" as a fortune cookie message.",35
0.023623405,./bigram_generator.csv,Upgrade this content as if it was like being visited an englishman.,Revise this content to reflect a more sophisticated tone reminiscent of British English.,36
0.023661142,./bigram_generator.csv,Amend this information about nature.,Correct this information about nature.,37
0.023674643,./bigram_generator.csv,Please read by monks chanted in his sister plenty of where instead of every person pov rewrite this as the essay by rex beach.,Rewrite the essay by Rex Beach with monks chanting instead of from every person's point of view.,38
0.023781203,./bigram_generator.csv,Improve it had spoken word with moisture.,Rephrase the text to include more descriptive language.,39
0.023782916,./bigram_generator.csv,Modify please him back in the high in a story.,Please rewrite the story with him back in the high.,40
0.023834622,./bigram_generator.csv,Enhance clarity and his whimsical modern slang rewrite this into love letter.,Rewrite this love letter into a clear and modern slang style.,41
0.023875961,./bigram_generator.csv,Rephrase this as the text in my readers can find love him.,Rewrite this text so that my readers can find love in him.,42
0.023993194,./bigram_generator.csv,Rephrase this as an etiquette guide for modern children of things before the figurative way rewrite this as a happily tired.,"Rephrase this as an etiquette guide for modern children: ""Rewrite this as if you were happily tired.""",43
0.024008071,./bigram_generator.csv,Improve a shakespearean sonnet rewrite the _review_.,Improve a Shakespearean sonnet rewrite the _rewrite_.,44
0.02403873,./bigram_generator.csv,Enhance a dialogue between herrick had stepped up the disturbance was the text as a conversation between molecules.,"Transform the dialogue where 'Herrick had stepped up, the disturbance was' into a conversation amongst molecules.",45
0.024064286,./bigram_generator.csv,Change this as if it were written explanation to help her methods and without the unformed wish.,"Rewrite this as if it were an explanation to assist her with her strategies, and omit any vague desires.",46
0.024071636,./bigram_generator.csv,Craft it marked at the text from the essay in 1303 and non-threatening rewrite this as a proficiency to hear.,Please revise the text from essay 1303 to make it more readable and approachable.,47
0.024105424,./bigram_generator.csv,Rewrite the pained look something like best book where everything he was not seem random emoji after a diamond.,"Rewrite the passage to describe the best book where everything he was not, and include a random emoji after the word ""diamond.""",48
0.024132015,./bigram_generator.csv,Revamp the essay to continental mainland.,Rewrite the essay into continental mainland.,49
0.024138294,./bigram_generator.csv,Rephrase this into a dark silk stockings were more formal apology capitalize every noun with captions explaining a bottle.,"Rewrite this to: ""Dark silk stockings make for a more formal look. Capitalize every noun and provide descriptions for each caption about a bottle.""",50
0.024139388,./bigram_generator.csv,Enrich this a poetic description of a dialogue between historical figures in your duty to enhance its wording; the little kidney-cruets; and woodlands in its inhabitants.,Enhance this poetic description of a dialogue between historical figures by enriching its wording - explore the delicate kidney-shaped vessels and the creatures of the forests within its realm.,51
0.024151493,./bigram_generator.csv,Upgrade this as a wise old english.,Rewrite this in the style of wise Old English.,52
0.02419969,./bigram_generator.csv,Revise this a dystopian future to be a more conversational tone.,"Rewrite this dystopian future in a more casual, conversational style.",53
0.024208248,./bigram_generator.csv,Revitalize a heartfelt letter from the perspective of british trading and moral to fall of hieroglyphs.,Revitalize a heartfelt letter from the perspective of British trading and morality to the fall of hieroglyphs.,54
0.024231749,./bigram_generator.csv,Edit it a feather.,Edit a feather.,55
0.024248207,./bigram_generator.csv,Overhaul a line from the text into plain english were a more of the connection to be bargained.,Rewrite a sentence from the text in simpler English where the connection is emphasized more.,56
0.02425716,./bigram_generator.csv,Enrich a more kind of the hut to fight right rewrite the spinning half-crowns and love letter of a marvellous perfection.,Can you please provide the original prompt you intended to give me?,57
0.024276668,./bigram_generator.csv,Enhance the subject like it?,"Enhance the text, please.",58
0.024295526,./bigram_generator.csv,Edit a critique for him.,Edit a critique for him.,59
0.024300141,./bigram_generator.csv,Please rewrite the letter to contain a critique societal dynamics.,Please rewrite the letter to include a critique of societal dynamics.,60
0.02430165,./bigram_generator.csv,Rephrase this text as a dialogue between humans rewrite the rawders were a jazz song.,"Rewrite the phrase ""The Rawders were a jazz song."" as a conversation between humans.",61
0.024316961,./bigram_generator.csv,Please rewrite the essay as a bottle.,Please rewrite the essay as a poem.,62
0.024337804,./bigram_generator.csv,Alter this text in the two minutes before you mean as if no adjectives with it.,Remove all adjectives from the text in the two minutes before you.,63
0.024353592,./bigram_generator.csv,Overhaul a lighter tone .,Transform to a lighter tone.,64
0.024367267,./bigram_generator.csv,Revamp the lips of view of an early explorers notes on society.,Revise the perspective of an early explorer's observations on society.,65
0.024409106,./bigram_generator.csv,Adapt this as a speech for a letter change this as never gave an alternate the best on the wars in the rough trails the full project gutenberg literary archive,Adapt this passage as a letter to effectively highlight the exceptional works found in the rich collection of the Project Gutenberg Literary Archive.,66
0.024430666,./bigram_generator.csv,Alter this as if it into a newly crowned the horse-killer took some words seemed urged by way they look at banchory-ternan on life.,"Transform this passage as if the newly crowned king carefully selected his words, seemingly inspired by the sights of Banchory-Ternan in his reflection on life.",67
0.024446182,./bigram_generator.csv,Convert this agreement to sit in the sorrows and groined crypt and such times the story with more formal tone.,Transform the informal agreement to one that is appropriate for sitting in the somber and dimly lit crypt while recounting the tale.,68
0.024466384,./bigram_generator.csv,Modify please improve it as a mystery of the united states without a final message about a letter written by a lifetime when i know more formal tone.,"Transform the text to frame it as a mystery set in the United States without concluding with a final statement on a letter authored by an individual during their lifetime, maintaining a more formal language style.",69
0.024468493,./bigram_generator.csv,Enhance clarity and excitement rewrite the exclusion or legend.,Rewrite the exclusion or legend to enhance clarity and excitement.,70
0.024487572,./bigram_generator.csv,Revamp this passage into a militant englishman of echoes.,Transform this passage into a reverberating piece of text worthy of a British warrior.,71
0.024489725,./bigram_generator.csv,Alter this text as if it thrills for me out he should be not intentionally have the opposite.,Rewrite this text to ensure it conveys the opposite message intentionally.,72
0.024513865,./bigram_generator.csv,Adjust this view; and.,Adjust this sentence.,73
0.024522515,./bigram_generator.csv,Replace every letter of a series of deer and family secrets could make description from this to save the opiate of view rewrite this striking feature but there made clear,"Replace every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear.

The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""",74
0.024531798,./bigram_generator.csv,Adjust a more words are a story with stakeholders.,"Expand on a short story by incorporating various perspectives and interests of different individuals involved in the narrative, such as stakeholders.",75
0.024564853,./bigram_generator.csv,Reconstitute the essay with a declaration of dr.,Reconstitute the essay with a clear thesis statement.,76
0.024565673,./bigram_generator.csv,Innovate this text as a defect you have heard only a gritty.,Interpret this text as if it were a message you have only heard in fragments.,77
0.024569768,./bigram_generator.csv,Modify please craft it marked as a series of open as if it into a grumpy old wise trees advice they were.,"Transform the text into a series of wise advice from a grumpy old tree: ""Craft it with care, as if it were marked by the wisdom of time.""",78
0.024590736,./bigram_generator.csv,Edit this as a handle by a letter indicates bold.,Edit this as *handel by a letter indicates bold*,79
0.02460572,./bigram_generator.csv,Edit this discussion to be won.,Revise this discussion to make it more coherent.,80
0.024633128,./bigram_generator.csv,Upgrade a citation to find meaning make it rested and bowed politely.,Transform a citation into an accurate and properly formatted reference.,81
0.024660168,./bigram_generator.csv,Convert this as a feel-good piece as an informal tone.,Transform this into a feel-good piece with an informal tone.,82
0.024676213,./bigram_generator.csv,Translate this into a declaration of gentle in the text as if it came in trees.,Transform the text to emphasize the gentle nature of the trees.,83
0.02467766,./bigram_generator.csv,Edit a sermon in the english.,Edit a sermon in English.,84
0.02468116,./bigram_generator.csv,Innovate upgrade this as a newspaper important to be embarked european civilization for the text into a satirical political convenience of resignation from watanabe.,Rewrite the given text about the newspaper's significance in European civilization into a satirical resignation letter from Watanabe.,85
0.024701279,./bigram_generator.csv,Edit it follows a letter of spirits.,Edit: It follows a letter of spirit.,86
0.024777923,./bigram_generator.csv,Tailor this text as a remedy to speak english than having their influence.,Revise this text to improve its English fluency.,87
0.024792371,./bigram_generator.csv,Edit this as a symposium to be struck.,Edit this sentence to be stricken.,88
0.024819212,./bigram_generator.csv,Alter it as a great part in a number of the text in most high moments at the other dead and robust.,Alter certain parts of the text for emphasis in key moments while maintaining clarity and strength.,89
0.024822824,./bigram_generator.csv,Enhance clarity and given new war ii love letter from ancient secret of the humans would be like a childrens story by of glorious amplitude to make it into a,"Rewrite a World War II love letter with an ancient secret theme, turning it into a children's story rich in glorious adventure.",90
0.024826694,./bigram_generator.csv,Convey the essay with the far clearer!,Could you please clarify the essay?,91
0.024826743,./bigram_generator.csv,Modify please read it were an eel.,Please rewrite it as if it were an email.,92
0.02482841,./bigram_generator.csv,Enhance clarity and originally the story with this into the moon and the text into a virtual quest.,Transform the story into a virtual quest about the moon.,93
0.024834974,./bigram_generator.csv,Modify please read my vivid as for balance with all truth to do to-morrow.,"Transform ""Please revise my draft to ensure it is well-balanced and accurately reflects all the tasks that need to be completed by tomorrow.""",94
0.024852257,./bigram_generator.csv,Upgrade this as the binding of a formal diction and the gun and lovely creeper.,Upgrade this by using formal language and mention the gun and beautiful vine.,95
0.024856891,./bigram_generator.csv,Alter this text into a jury rewrite the sportiveness of theodora.,Rewrite the text to enhance the playfulness of Theodora.,96
0.02485857,./bigram_generator.csv,Renovate it into the text as a data analysis as if i knew that goodly place in my father at this as small writing style it seemed.,"Transform the text into a data analysis, maintaining the writing style akin to a recollection of a fond memory from my father in a concise manner.",97
0.024861837,./bigram_generator.csv,Enhance clarity of death of the text into a mountain waterfall was sharp crack of the buffet with a ten-mile front of the coarse-grained dust of an adventure rewrite it,"Clarify the description of the text ""The mountain waterfall thundered with a sharp crack, creating a ten-mile wide front of coarse-grained dust in this adventurous rewrite.""",98
