generation,score,sentence,color
0,0.6846446817197951,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.2107566540946072, 0.5978720365132981, 0.7686506897182636)"
0,0.6841815915447782,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.2107566540946072, 0.5978720365132981, 0.7686506897182636)"
0,0.6840056234768531,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give the mere more nicely undertone what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.2107566540946072, 0.5978720365132981, 0.7686506897182636)"
0,0.683946375102845,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from wan to give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.2107566540946072, 0.5978720365132981, 0.7686506897182636)"
0,0.6838685205101678,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.2107566540946072, 0.5978720365132981, 0.7686506897182636)"
0,0.683865900852924,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give the mere more nicely undertone of what the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.2107566540946072, 0.5978720365132981, 0.7686506897182636)"
1,0.6846446817197952,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.2107566540946072, 0.5978720365132981, 0.7686506897182636)"
1,0.6845291258849955,Indicate reconstruct this for an ventured piece to sit certitude in with improve a way from this wan give the mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.2107566540946072, 0.5978720365132981, 0.7686506897182636)"
1,0.6841815915447785,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give mere more nicely undertone of what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.2107566540946072, 0.5978720365132981, 0.7686506897182636)"
1,0.6840056234768531,Indicate reconstruct this for an ventured piece to sit certitude in with improve a reasonable way from this wan to give the mere more nicely undertone what the the of someone is please wording spoke about their compound of contents about; thine change all the presence of both using by etext.,"(0.2107566540946072, 0.5978720365132981, 0.7686506897182636)"
